epoch,lambda,learning_rate,loss,per_class_iou,val_lambda,val_loss,val_per_class_iou
0,0.009591848589479923,0.0010000000474974513,0.5906570553779602,"""[tf.Tensor(0.00064729457, shape=(), dtype=float32), tf.Tensor(0.0010590155, shape=(), dtype=float32), tf.Tensor(0.033204377, shape=(), dtype=float32), tf.Tensor(0.0018446455, shape=(), dtype=float32)]""",0.008928571827709675,0.5294718742370605,"""[tf.Tensor(2.4662737e-12, shape=(), dtype=float32), tf.Tensor(1.3310263e-11, shape=(), dtype=float32), tf.Tensor(7.766816e-14, shape=(), dtype=float32), tf.Tensor(2.4789353e-13, shape=(), dtype=float32)]"""
1,0.07643511891365051,0.0010000000474974513,0.5112720727920532,"""[tf.Tensor(0.012570886, shape=(), dtype=float32), tf.Tensor(2.0951183e-12, shape=(), dtype=float32), tf.Tensor(0.11359748, shape=(), dtype=float32), tf.Tensor(5.1512343e-05, shape=(), dtype=float32)]""",0.028027916327118874,0.5448611974716187,"""[tf.Tensor(2.4662737e-12, shape=(), dtype=float32), tf.Tensor(1.3310263e-11, shape=(), dtype=float32), tf.Tensor(0.08286184, shape=(), dtype=float32), tf.Tensor(2.4789353e-13, shape=(), dtype=float32)]"""
2,0.03561776503920555,0.0010000000474974513,0.504422664642334,"""[tf.Tensor(6.712761e-13, shape=(), dtype=float32), tf.Tensor(5.5242516e-12, shape=(), dtype=float32), tf.Tensor(0.12496615, shape=(), dtype=float32), tf.Tensor(2.7977792e-05, shape=(), dtype=float32)]""",0.04203468933701515,0.5033033490180969,"""[tf.Tensor(2.4662737e-12, shape=(), dtype=float32), tf.Tensor(1.3310263e-11, shape=(), dtype=float32), tf.Tensor(0.14693171, shape=(), dtype=float32), tf.Tensor(2.4789353e-13, shape=(), dtype=float32)]"""
